Data;Ultimo
21/05/2009;888.33
22/05/2009;887
26/05/2009;910.33
27/05/2009;893.06
28/05/2009;906.83
29/05/2009;919.14
01/06/2009;942.87
02/06/2009;944.74
03/06/2009;931.76
04/06/2009;942.46
05/06/2009;940.09
08/06/2009;939.14
09/06/2009;942.43
10/06/2009;939.15
11/06/2009;944.89
12/06/2009;946.21
15/06/2009;923.72
16/06/2009;911.97
17/06/2009;910.71
18/06/2009;918.37
19/06/2009;921.23
22/06/2009;893.04
23/06/2009;895.1
24/06/2009;900.94
25/06/2009;920.26
26/06/2009;918.9
29/06/2009;927.23
30/06/2009;919.32
01/07/2009;923.33
02/07/2009;896.42
06/07/2009;898.72
07/07/2009;881.03
08/07/2009;879.56
09/07/2009;882.68
10/07/2009;879.13
13/07/2009;901.05
14/07/2009;905.84
15/07/2009;932.68
16/07/2009;940.74
17/07/2009;940.38
20/07/2009;951.13
21/07/2009;954.58
22/07/2009;954.07
23/07/2009;976.29
24/07/2009;979.26
27/07/2009;982.18
28/07/2009;979.62
29/07/2009;975.15
30/07/2009;986.75
31/07/2009;987.48
03/08/2009;1002.63
04/08/2009;1005.65
05/08/2009;1002.72
06/08/2009;997.08
07/08/2009;1010.48
10/08/2009;1007.10
11/08/2009;994.35
12/08/2009;1005.81
13/08/2009;1012.73
14/08/2009;1004.09
17/08/2009;979.73
18/08/2009;989.67
19/08/2009;996.46
20/08/2009;1007.37
21/08/2009;1026.13
24/08/2009;1025.57
25/08/2009;1028.00
26/08/2009;1028.12
27/08/2009;1030.98
28/08/2009;1028.93
31/08/2009;1020.62
01/09/2009;998.04
02/09/2009;994.75
03/09/2009;1003.24
04/09/2009;1016.40
08/09/2009;1025.39
09/09/2009;1033.37
10/09/2009;1044.14
11/09/2009;1042.73
14/09/2009;1049.34
15/09/2009;1052.63
16/09/2009;1068.76
17/09/2009;1065.49
18/09/2009;1068.30
21/09/2009;1064.66
22/09/2009;1071.66
23/09/2009;1060.87
24/09/2009;1050.78
25/09/2009;1044.38
28/09/2009;1062.98
29/09/2009;1060.61
30/09/2009;1057.08
01/10/2009;1029.85
02/10/2009;1025.21
05/10/2009;1040.46
06/10/2009;1054.72
07/10/2009;1057.58
08/10/2009;1065.48
09/10/2009;1071.49
12/10/2009;1076.19
13/10/2009;1073.19
14/10/2009;1092.02
15/10/2009;1096.56
16/10/2009;1087.68
19/10/2009;1097.91
20/10/2009;1091.06
21/10/2009;1081.40
22/10/2009;1092.91
23/10/2009;1079.60
26/10/2009;1066.95
27/10/2009;1063.41
28/10/2009;1042.63
29/10/2009;1066.11
30/10/2009;1036.19
02/11/2009;1042.88
03/11/2009;1045.41
04/11/2009;1046.50
05/11/2009;1066.63
06/11/2009;1069.30
09/11/2009;1093.08
10/11/2009;1093.01
11/11/2009;1098.51
12/11/2009;1087.24
13/11/2009;1093.48
16/11/2009;1109.30
17/11/2009;1110.32
18/11/2009;1109.80
19/11/2009;1094.90
20/11/2009;1091.38
23/11/2009;1106.24
24/11/2009;1105.65
25/11/2009;1110.63
27/11/2009;1091.49
30/11/2009;1095.63
01/12/2009;1108.86
02/12/2009;1109.24
03/12/2009;1099.92
04/12/2009;1105.98
07/12/2009;1103.25
08/12/2009;1091.94
09/12/2009;1095.95
10/12/2009;1102.35
11/12/2009;1106.41
14/12/2009;1114.11
15/12/2009;1107.93
16/12/2009;1109.18
17/12/2009;1096.08
18/12/2009;1102.47
21/12/2009;1114.05
22/12/2009;1118.02
23/12/2009;1120.59
24/12/2009;1126.48
28/12/2009;1127.78
29/12/2009;1126.20
30/12/2009;1126.42
31/12/2009;1115.10
04/01/2010;1132.99
05/01/2010;1136.52
06/01/2010;1137.14
07/01/2010;1141.69
08/01/2010;1144.98
11/01/2010;1146.98
12/01/2010;1136.22
13/01/2010;1145.68
14/01/2010;1148.46
15/01/2010;1136.03
19/01/2010;1150.23
20/01/2010;1138.04
21/01/2010;1116.48
22/01/2010;1091.76
25/01/2010;1096.78
26/01/2010;1092.17
27/01/2010;1097.50
28/01/2010;1084.53
29/01/2010;1073.87
01/02/2010;1089.19
02/02/2010;1103.32
03/02/2010;1097.28
04/02/2010;1063.11
05/02/2010;1066.19
08/02/2010;1056.74
09/02/2010;1070.52
10/02/2010;1068.13
11/02/2010;1078.47
12/02/2010;1075.51
16/02/2010;1094.87
17/02/2010;1099.51
18/02/2010;1106.75
19/02/2010;1109.17
22/02/2010;1108.01
23/02/2010;1094.60
24/02/2010;1105.24
25/02/2010;1102.94
26/02/2010;1104.49
01/03/2010;1115.71
02/03/2010;1118.31
03/03/2010;1118.79
04/03/2010;1122.97
05/03/2010;1138.70
08/03/2010;1138.50
09/03/2010;1140.45
10/03/2010;1145.61
11/03/2010;1150.24
12/03/2010;1149.99
15/03/2010;1150.51
16/03/2010;1159.46
17/03/2010;1166.21
18/03/2010;1165.83
19/03/2010;1159.90
22/03/2010;1165.81
23/03/2010;1174.17
24/03/2010;1167.72
25/03/2010;1165.73
26/03/2010;1166.59
29/03/2010;1173.22
30/03/2010;1173.27
31/03/2010;1169.43
01/04/2010;1178.10
05/04/2010;1187.44
06/04/2010;1189.44
07/04/2010;1182.45
08/04/2010;1186.44
09/04/2010;1194.37
12/04/2010;1196.48
13/04/2010;1197.30
14/04/2010;1210.65
15/04/2010;1211.67
16/04/2010;1192.13
19/04/2010;1197.52
20/04/2010;1207.17
21/04/2010;1205.94
22/04/2010;1208.67
23/04/2010;1217.28
26/04/2010;1212.05
27/04/2010;1183.71
28/04/2010;1191.36
29/04/2010;1206.78
30/04/2010;1186.69
03/05/2010;1202.26
04/05/2010;1173.60
05/05/2010;1165.87
06/05/2010;1128.15
07/05/2010;1110.88
10/05/2010;1159.73
11/05/2010;1155.79
12/05/2010;1171.67
13/05/2010;1157.44
14/05/2010;1135.68
17/05/2010;1136.94
18/05/2010;1120.80
19/05/2010;1115.05
20/05/2010;1071.59
21/05/2010;1087.69
24/05/2010;1073.65
25/05/2010;1074.03
26/05/2010;1067.95
27/05/2010;1103.06
28/05/2010;1089.41
01/06/2010;1070.71
02/06/2010;1098.38
03/06/2010;1102.83
04/06/2010;1064.88
07/06/2010;1050.47
08/06/2010;1062.00
09/06/2010;1055.69
10/06/2010;1086.84
11/06/2010;1091.60
14/06/2010;1089.63
15/06/2010;1115.23
16/06/2010;1114.61
17/06/2010;1116.04
18/06/2010;1117.51
21/06/2010;1113.20
22/06/2010;1095.31
23/06/2010;1092.04
24/06/2010;1073.69
25/06/2010;1076.76
28/06/2010;1074.57
29/06/2010;1041.24
30/06/2010;1030.71
01/07/2010;1027.37
02/07/2010;1022.58
06/07/2010;1028.06
07/07/2010;1060.27
08/07/2010;1070.25
09/07/2010;1077.96
12/07/2010;1078.75
13/07/2010;1095.34
14/07/2010;1095.17
15/07/2010;1096.48
16/07/2010;1064.88
19/07/2010;1071.25
20/07/2010;1083.48
21/07/2010;1069.59
22/07/2010;1093.67
23/07/2010;1102.66
26/07/2010;1115.01
27/07/2010;1113.84
28/07/2010;1106.13
29/07/2010;1101.53
30/07/2010;1101.60
02/08/2010;1125.86
03/08/2010;1120.46
04/08/2010;1127.24
05/08/2010;1125.81
06/08/2010;1121.64
09/08/2010;1127.79
10/08/2010;1121.06
11/08/2010;1089.47
12/08/2010;1083.61
13/08/2010;1079.25
16/08/2010;1079.38
17/08/2010;1092.54
18/08/2010;1094.16
19/08/2010;1075.63
20/08/2010;1071.69
23/08/2010;1067.36
24/08/2010;1051.87
25/08/2010;1055.33
26/08/2010;1047.22
27/08/2010;1064.59
30/08/2010;1048.92
31/08/2010;1049.33
01/09/2010;1080.29
02/09/2010;1090.10
03/09/2010;1104.51
07/09/2010;1091.84
